26, 0.0 0.0 0.5 0.585136869637 0.378545439306 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
27, 0.0 0.0 0.5 0.585223215347 0.378747078035 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
28, 0.0 0.0 0.5 0.585309561056 0.378948716763 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
29, 0.0 0.0 0.5 0.585395906766 0.379150355491 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
30, 0.0 0.0 0.5 0.585482252475 0.37935199422 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
31, 0.0 0.0 0.5 0.585568598185 0.379553632948 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
32, 0.0 0.0 0.5 0.585654943894 0.379755271676 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
33, 0.0 0.0 0.5 0.585741289604 0.379956910405 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
34, 0.0 0.0 0.5 0.585827635314 0.380158549133 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
35, 0.0 0.0 0.5 0.585913981023 0.380360187861 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
36, 0.0 0.0 0.5 0.586000326733 0.38056182659 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
37, 0.0 0.0 0.5 0.586086672442 0.380763465318 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
38, 0.0 0.0 0.5 0.586173018152 0.380965104046 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
39, 0.0 0.0 0.5 0.586259363861 0.381166742775 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
40, 0.0 0.0 0.5 0.586345709571 0.381368381503 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
41, 0.0 0.0 0.5 0.586432055281 0.381570020231 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
42, 0.0 0.0 0.5 0.58651840099 0.38177165896 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
43, 0.0 0.0 0.5 0.5866047467 0.381973297688 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
44, 0.0 0.0 0.5 0.586691092409 0.382174936416 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
45, 0.0 0.0 0.5 0.586777438119 0.382376575145 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
46, 0.0 0.0 0.5 0.586863783828 0.382578213873 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
47, 0.0 0.0 0.5 0.586950129538 0.382779852601 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
48, 0.0 0.0 0.5 0.587036475248 0.382981491329 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
49, 0.0 0.0 0.5 0.587122820957 0.383183130058 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
50, 0.0 0.0 0.5 0.587209166667 0.383384768786 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
51, 0.0 0.0 0.5 0.587295512376 0.383586407514 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
52, 0.0 0.0 0.5 0.587381858086 0.383788046243 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
53, 0.0 0.0 0.5 0.587468203795 0.383989684971 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
54, 0.0 0.0 0.5 0.587554549505 0.384191323699 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
55, 0.0 0.0 0.5 0.587640895215 0.384392962428 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
56, 0.0 0.0 0.5 0.587727240924 0.384594601156 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
57, 0.0 0.0 0.5 0.587813586634 0.384796239884 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
58, 0.0 0.0 0.5 0.587899932343 0.384997878613 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
59, 0.0 0.0 0.5 0.587986278053 0.385199517341 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
60, 0.0 0.0 0.5 0.588072623762 0.385401156069 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
61, 0.0 0.0 0.5 0.588158969472 0.385602794798 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
62, 0.0 0.0 0.5 0.588245315182 0.385804433526 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
63, 0.0 0.0 0.5 0.588331660891 0.386006072254 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
64, 0.0 0.0 0.5 0.588418006601 0.386207710983 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
65, 0.0 0.0 0.5 0.58850435231 0.386409349711 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
66, 0.0 0.0 0.5 0.58859069802 0.386610988439 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
67, 0.0 0.0 0.5 0.588677043729 0.386812627168 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
68, 0.0 0.0 0.5 0.588763389439 0.387014265896 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
69, 0.0 0.0 0.5 0.588849735149 0.387215904624 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
70, 0.0 0.0 0.5 0.588936080858 0.387417543353 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
71, 0.0 0.0 0.5 0.589022426568 0.387619182081 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
72, 0.0 0.0 0.5 0.589108772277 0.387820820809 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
73, 0.0 0.0 0.5 0.589195117987 0.388022459538 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
74, 0.0 0.0 0.5 0.589281463696 0.388224098266 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
75, 0.0 0.0 0.5 0.589367809406 0.388425736994 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
76, 0.0 0.0 0.5 0.589454155116 0.388627375723 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
77, 0.0 0.0 0.5 0.589540500825 0.388829014451 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
78, 0.0 0.0 0.5 0.589626846535 0.389030653179 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
79, 0.0 0.0 0.5 0.589713192244 0.389232291908 0.0 0.0 0.302326 0.0 0.5 1.0 0.0 0.0 1.0;
